sep=;
ID;Description;weight-gr;Type;Color;Size;Price;shipping
1513;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Purple / 12yrs);116.23;Apparel;Purple;12yrs;13.04;8
1514;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Navy / 12yrs);116.23;Apparel;Navy;12yrs;13.04;8
1516;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Baby Blue / 12yrs);116.23;Apparel;Baby Blue;12yrs;13.04;8
1521;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Heather Grey / 12yrs);116.23;Apparel;Heather Grey;12yrs;13.04;8
1522;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Slate / 12yrs);116.23;Apparel;Slate;12yrs;13.04;8
77;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Asphalt / S);107.73;Apparel;Asphalt;S;12.95;8
79;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Black / S);107.73;Apparel;Black;S;12.95;8
99;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Heather Grey / S);107.73;Apparel;Heather Grey;S;12.95;8
109;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Navy / S);107.73;Apparel;Navy;S;12.95;8
117;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Red / S);107.73;Apparel;Red;S;12.95;8
131;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (White / S);107.73;Apparel;White;S;12.16;8
139;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Asphalt / M);113.4;Apparel;Asphalt;M;12.95;8
141;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Black / M);113.4;Apparel;Black;M;12.95;8
161;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Heather Grey / M);113.4;Apparel;Heather Grey;M;12.95;8
171;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Navy / M);113.4;Apparel;Navy;M;12.95;8
179;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Red / M);113.4;Apparel;Red;M;12.95;8
193;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (White / M);113.4;Apparel;White;M;12.16;8
201;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Asphalt / L);127.57;Apparel;Asphalt;L;12.95;8
203;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Black / L);127.57;Apparel;Black;L;12.95;8
223;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Heather Grey / L);127.57;Apparel;Heather Grey;L;12.95;8
233;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Navy / L);127.57;Apparel;Navy;L;12.95;8
241;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Red / L);127.57;Apparel;Red;L;12.95;8
255;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (White / L);127.57;Apparel;White;L;12.16;8
263;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Asphalt / XL);134.66;Apparel;Asphalt;XL;12.95;8
265;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Black / XL);134.66;Apparel;Black;XL;12.95;8
285;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Heather Grey / XL);134.66;Apparel;Heather Grey;XL;12xxx95;8
295;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Navy / XL);134.66;Apparel;Navy;XL;12.95;8
303;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Red / XL);134.66;Apparel;Red;XL;12.95;8
317;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (White / XL);134.66;Apparel;White;XL;12.16;8
325;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Asphalt / 2XL);148.83;Apparel;Asphalt;2XL;14.26;8
327;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Black / 2XL);148.83;Apparel;Black;2XL;14.26;8
347;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Heather Grey / 2XL);148.83;Apparel;Heather Grey;2XL;14.26;8
357;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Navy / 2XL);148.83;Apparel;Navy;2XL;14.26;8
365;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (Red / 2XL);148.83;Apparel;Red;2XL;14.26;8
379;European Apparel 2102 Fine Jersey Short Sleeve Women T-Shirt (White / 2XL);148.83;Apparel;White;2XL;13.47;8
